{2 1 pre_vote SenderVC: map[0:0 1:0 2:1] ReceiverVC: map[0:0 1:1 2:1]}
{2 0 pre_vote SenderVC: map[0:0 1:0 2:2] ReceiverVC: map[0:1 1:0 2:2]}
{-1 -1 Drop Message Fault}
{1 0 pre_vote is dropped SenderVC: map[0:0 1:1 2:1] ReceiverVC: map[0:1 1:0 2:2]}
{1 2 pre_vote SenderVC: map[0:0 1:2 2:1] ReceiverVC: map[0:0 1:2 2:3]}
{1 2 request_vote SenderVC: map[0:0 1:3 2:1] ReceiverVC: map[0:0 1:3 2:4]}
{1 0 request_vote SenderVC: map[0:0 1:4 2:1] ReceiverVC: map[0:2 1:4 2:2]}
{1 0 append_entries SenderVC: map[0:0 1:5 2:1] ReceiverVC: map[0:3 1:5 2:2]}
{1 2 append_entries SenderVC: map[0:0 1:6 2:1] ReceiverVC: map[0:0 1:6 2:5]}
{-1 -1 Drop Message Fault}
{1 0 append_entries SenderVC: map[0:0 1:7 2:1] ReceiverVC: map[0:4 1:7 2:2]}
{1 2 append_entries SenderVC: map[0:0 1:8 2:1] ReceiverVC: map[0:0 1:8 2:6]}
{1 0 append_entries SenderVC: map[0:0 1:9 2:1] ReceiverVC: map[0:5 1:9 2:2]}
{1 2 append_entries SenderVC: map[0:0 1:10 2:1] ReceiverVC: map[0:0 1:10 2:7]}
{1 0 append_entries SenderVC: map[0:0 1:11 2:1] ReceiverVC: map[0:6 1:11 2:2]}
{1 2 append_entries SenderVC: map[0:0 1:12 2:1] ReceiverVC: map[0:0 1:12 2:8]}
{1 0 append_entries SenderVC: map[0:0 1:13 2:1] ReceiverVC: map[0:7 1:13 2:2]}
{1 2 append_entries SenderVC: map[0:0 1:14 2:1] ReceiverVC: map[0:0 1:14 2:9]}
{1 0 append_entries SenderVC: map[0:0 1:15 2:1] ReceiverVC: map[0:8 1:15 2:2]}
{1 0 append_entries SenderVC: map[0:0 1:16 2:1] ReceiverVC: map[0:9 1:16 2:2]}
{1 0 append_entries SenderVC: map[0:0 1:17 2:1] ReceiverVC: map[0:10 1:17 2:2]}
{1 0 append_entries SenderVC: map[0:0 1:18 2:1] ReceiverVC: map[0:11 1:18 2:2]}
{1 0 append_entries SenderVC: map[0:0 1:19 2:1] ReceiverVC: map[0:12 1:19 2:2]}
{1 2 append_entries SenderVC: map[0:0 1:20 2:1] ReceiverVC: map[0:0 1:20 2:10]}
{1 0 append_entries SenderVC: map[0:0 1:21 2:1] ReceiverVC: map[0:13 1:21 2:2]}
{1 0 append_entries SenderVC: map[0:0 1:22 2:1] ReceiverVC: map[0:14 1:22 2:2]}
{1 0 append_entries SenderVC: map[0:0 1:23 2:1] ReceiverVC: map[0:15 1:23 2:2]}
{1 0 append_entries SenderVC: map[0:0 1:24 2:1] ReceiverVC: map[0:16 1:24 2:2]}
{1 0 append_entries SenderVC: map[0:0 1:25 2:1] ReceiverVC: map[0:17 1:25 2:2]}
{1 0 append_entries SenderVC: map[0:0 1:26 2:1] ReceiverVC: map[0:18 1:26 2:2]}
{1 2 append_entries SenderVC: map[0:0 1:27 2:1] ReceiverVC: map[0:0 1:27 2:11]}
{1 0 append_entries SenderVC: map[0:0 1:28 2:1] ReceiverVC: map[0:19 1:28 2:2]}
{1 2 append_entries SenderVC: map[0:0 1:29 2:1] ReceiverVC: map[0:0 1:29 2:12]}
{1 2 append_entries SenderVC: map[0:0 1:30 2:1] ReceiverVC: map[0:0 1:30 2:13]}
{1 2 append_entries SenderVC: map[0:0 1:31 2:1] ReceiverVC: map[0:0 1:31 2:14]}
{1 2 append_entries SenderVC: map[0:0 1:32 2:1] ReceiverVC: map[0:0 1:32 2:15]}
{1 2 append_entries SenderVC: map[0:0 1:33 2:1] ReceiverVC: map[0:0 1:33 2:16]}
{1 0 append_entries SenderVC: map[0:0 1:34 2:1] ReceiverVC: map[0:20 1:34 2:2]}
{1 0 append_entries SenderVC: map[0:0 1:35 2:1] ReceiverVC: map[0:21 1:35 2:2]}
{1 0 append_entries SenderVC: map[0:0 1:36 2:1] ReceiverVC: map[0:22 1:36 2:2]}
{1 2 append_entries SenderVC: map[0:0 1:37 2:1] ReceiverVC: map[0:0 1:37 2:17]}
{1 2 append_entries SenderVC: map[0:0 1:38 2:1] ReceiverVC: map[0:0 1:38 2:18]}
{1 0 append_entries SenderVC: map[0:0 1:39 2:1] ReceiverVC: map[0:23 1:39 2:2]}
{1 0 append_entries SenderVC: map[0:0 1:40 2:1] ReceiverVC: map[0:24 1:40 2:2]}
{1 0 append_entries SenderVC: map[0:0 1:41 2:1] ReceiverVC: map[0:25 1:41 2:2]}
{1 0 append_entries SenderVC: map[0:0 1:42 2:1] ReceiverVC: map[0:26 1:42 2:2]}
{1 0 append_entries SenderVC: map[0:0 1:43 2:1] ReceiverVC: map[0:27 1:43 2:2]}
{1 0 append_entries SenderVC: map[0:0 1:44 2:1] ReceiverVC: map[0:28 1:44 2:2]}
{1 2 append_entries SenderVC: map[0:0 1:45 2:1] ReceiverVC: map[0:0 1:45 2:19]}
{1 2 append_entries SenderVC: map[0:0 1:46 2:1] ReceiverVC: map[0:0 1:46 2:20]}
{1 0 append_entries SenderVC: map[0:0 1:47 2:1] ReceiverVC: map[0:29 1:47 2:2]}
{1 2 append_entries SenderVC: map[0:0 1:48 2:1] ReceiverVC: map[0:0 1:48 2:21]}
{1 2 append_entries SenderVC: map[0:0 1:49 2:1] ReceiverVC: map[0:0 1:49 2:22]}
